"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Research on Foreground Extraction and Target Detection and Tracking Algorithm of Surveillance Video Based on Deep Learning","P. Ye","Faculty of Megadata and Computing, Guangdong Baiyun University, Guangzhou, Guangdong, China","2023 2nd International Conference on 3D Immersion, Interaction and Multi-sensory Experiences (ICDIIME)","31 Aug 2023","2023","","","477","480","With the popularization of intelligent monitoring system, it is more and more important to detect remnants and crowd anomalies. At present, most of the anomaly detection methods of left-behind objects rely on tracking the object carriers, while the anomaly detection methods of crowds mostly judge the anomaly by detecting and tracking the trajectory of pedestrian targets and then analyzing whether their behaviors conform to the normal state. How to efficiently analyze the video data acquired by the video surveillance network by artificial intelligence is a frontier topic in the field of computer vision recently. Moreover, with the rapid development of computer science and technology and video surveillance hardware, the industry has higher and higher requirements for intelligent surveillance technology. Therefore, the quality standard of video target tracking and detection technology based on deep learning directly affects the quality of video target tracking based on deep learning. This paper mainly introduces three common methods of video target tracking and detection based on deep learning, and makes a comparative study of different methods, analyzing their advantages and disadvantages, hoping to provide some help for the further research of video tracking and detection algorithm.","","979-8-3503-2381-8","10.1109/ICDIIME59043.2023.00098","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10229786","Deep learning;Monitoring video foreground extraction;Target Detection and Tracking Algorithm","Deep learning;Training;Target tracking;Video tracking;Three-dimensional displays;Object detection;Video surveillance","","","","10","IEEE","31 Aug 2023","","","IEEE","IEEE Conferences"
"People Tracking and Counting using Jetson TX2 Kit with Tracking Algorithm","B. Bangennavar; S. Patil; S. Kudal; B. D. Parmeshachari; R. Latti","Department of Electrical and Electronics Engineering, KLE Technological University's, Dr. M. S. Sheshgiri College of Engineering and Technology, Belagavi, India; Department of Electrical and Electronics Engineering, KLE Technological University's, Dr. M. S. Sheshgiri College of Engineering and Technology, Belagavi, India; Department of Electrical and Electronics Engineering, KLE Technological University's, Dr. M. S. Sheshgiri College of Engineering and Technology, Belagavi, India; Department of Electronics and Communication Engineering, NITTE Meenakshi Institute of Technology, Bengaluru, India; Department of Electrical and Electronics Engineering, KLE Technological University's, Dr. M. S. Sheshgiri College of Engineering and Technology, Belagavi, India","2022 IEEE North Karnataka Subsection Flagship International Conference (NKCon)","26 May 2023","2022","","","1","5","The population growth has risen across the globe. The number of people gathering in public places due to population growth has increased. Based on the timings and number of customer visit, people tracking and counting system give the tally of the number of people in specific place. Here Nvidia Jetson TX2 is utilized with tracking algorithm. Hence this system provides solution to the problem. Understanding the flow of population and generating the heat maps is an important key role. Deep learning models will help to give the better performance with respect to object detection. But especially in crowded areas where the people movement is often more there will be a problem is detection of faces because of occlusion. Here in this paper we have used the deep learning techniques to resolve these issues. We have applied the feature extraction techniques to facilitate the correctness in the detection process. The NVDIA Jetson TX2 board can be used for the real time operation of the people tracking using the embedded board. This method will give the accuracy better than the traditional way of face detection using the facial recognition algorithm.","","978-1-6654-5342-4","10.1109/NKCon56289.2022.10126790","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10126790","Nvidia Jetson TX2;Crowd segmentation;Jetpack","Deep learning;Tracking;Face recognition;Sociology;Object detection;Feature extraction;Real-time systems","","","","15","IEEE","26 May 2023","","","IEEE","IEEE Conferences"
"People Tracking System Using DeepSORT","M. I. H. Azhar; F. H. K. Zaman; N. M. Tahir; H. Hashim","Faculty of Electrical Engineering, Universiti Teknologi MARA, Shah Alam, Selangor; Faculty of Electrical Engineering, Universiti Teknologi MARA, Shah Alam, Selangor; Faculty of Electrical Engineering, Universiti Teknologi MARA, Shah Alam, Selangor; Faculty of Electrical Engineering, Universiti Teknologi MARA, Shah Alam, Selangor","2020 10th IEEE International Conference on Control System, Computing and Engineering (ICCSCE)","24 Sep 2020","2020","","","137","141","The rapid development of image detection algorithm has led to its widespread application in security, such as facial recognition and crowd surveillance. However, real-time tracking is very challenging, especially in crowded places where the person might be in part or entirely occluded for some period. Hence, this paper objective is to create a people tracking system in crowd surveillance, using Deep SORT framework. Unlike object detection frameworks like CNN, this system does not just detect a person in real-time but on top of that, uses the information it has learned to track the trajectory of the person until they exit the frame of the camera. The system will use You Only Look Once (YOLO) for the person detection, and then use Deep SORT to process the detected person frame by frame to predict its movement path. The system was able to successfully detect and track the person movement path with average 2.59 frames per second (FPS).","","978-1-7281-7243-9","10.1109/ICCSCE50387.2020.9204956","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9204956","People tracking;Deep SORT framework;deep learning;YOLOv3.","Object detection;Real-time systems;Trajectory;Target tracking;Conferences","","20","","12","IEEE","24 Sep 2020","","","IEEE","IEEE Conferences"
"Integrating Object Detection and Advanced Analytics for Smart City Crowd Management","E. Prezioso; F. Giampaolo; S. Izzo; M. Savoia; F. Piccialli","Dept. of Mathematics and Applications ""R. Caccioppoli"", University of Naples Federico II, Italy; Dept. of Mathematics and Applications ""R. Caccioppoli"", University of Naples Federico II, Italy; Dept. of Mathematics and Applications ""R. Caccioppoli"", University of Naples Federico II, Italy; Dept. of Mathematics and Applications ""R. Caccioppoli"", University of Naples Federico II, Italy; Dept. of Mathematics and Applications ""R. Caccioppoli"", University of Naples Federico II, Italy","2023 IEEE International Conference on Networking, Sensing and Control (ICNSC)","20 Nov 2023","2023","1","","1","6","In the context of rapidly advancing smart cities, efficient crowd analysis plays a crucial role in ensuring public safety, urban planning, and resource management. This paper presents a novel framework that combines the popular You Only Look Once (YOLO) object detection algorithm with advanced crowd analysis techniques, aiming to improve the understanding and management of urban crowd dynamics. The proposed framework leverages YOLO’s real-time object detection capabilities to detect various objects within video frames, with a particular focus on identifying individuals. To initiate the crowd analysis process, the detected persons are isolated and tracked over time, enabling the collection of valuable data for comprehensive crowd behavior analysis. By leveraging this rich dataset, the framework enables the extraction of key crowd characteristics, such as crowd density, crowd flow patterns, crowd distribution, and crowd congestion levels. Moreover, the framework incorporates techniques to analyze the extracted data, offering valuable insights into crowd dynamics.","2766-8665","979-8-3503-6950-2","10.1109/ICNSC58704.2023.10318989","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10318989","deep learning;smart city;object detection","Computer vision;Pedestrians;Smart cities;Computational modeling;Heuristic algorithms;Urban planning;Streaming media","","","","15","IEEE","20 Nov 2023","","","IEEE","IEEE Conferences"
"Implementation of Realtime design of crowd Enumeration via tracking using AI system","M. R. Kounte; J. Rishitha; S. S. Setty; S. S","School of Electronics and Communication Engineering, REVA University, Bengaluru, India; School of Electronics and Communication Engineering, REVA University, Bengaluru, India; School of Electronics and Communication Engineering, REVA University, Bengaluru, India; School of Electronics and Communication Engineering, REVA University, Bengaluru, India","2023 International Conference on Intelligent and Innovative Technologies in Computing, Electrical and Electronics (IITCEE)","10 Apr 2023","2023","","","270","274","Crowd enumeration can help to evaluate and count the number of visitors to a place. There are many reasons that spana wide range of applications, from security considerations, optimization of operations to efficiency in profitability. In the paper, we propose to develop a prototype for implementing a high frame rate, low processing environment, high performance, and highly efficient real-time crowd enumeration system. The latest method for object detection is deep learning. When it comes to deep learning or machine learning, performance and computation are the key parameters. In our model, there is a provision to schedule the model for the required amount of time. In our work, we are using mobilenet SSD as an object detector to detect humans. It is a preprocessed, highly efficient, and light weight model which can run on low power device like jetson nano and is cost-efficient unlike others. The advantage of our model is if there is overcrowding in a specified location with known capacity, alarm is enabled.","","978-1-6654-9260-7","10.1109/IITCEE57236.2023.10090914","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10090914","Crowd Enumeration;Deep Learning (DL);Intelligent Machine (IM);Convolution Neural Network (CNN)and Machine learning (ML)","Deep learning;Schedules;Profitability;Computational modeling;Neural networks;Prototypes;Object detection","","","","26","IEEE","10 Apr 2023","","","IEEE","IEEE Conferences"
"TensorFlow Implementation on Analysis of Unusual Behavior in Crowd Using Deep Learning","M. K. D. P; A. Babu J; V. T. S; S. N; R. B; S. Sharma","Dept of CSE, Kalpataru Institute of Technology, Tiptur, Karnataka, India; Dept of ISE, Malnad College of Engineering, Hassan, Karnataka, India; Dept of CSE, Kalpataru Institute of Technology, Tiptur, Karnataka, India; Dept of CSE, Kalpataru Institute of Technology, Tiptur, Karnataka, India; Dept of CSE, Kalpataru Institute of Technology, Tiptur, Karnataka, India; Dept of CSE, Kalpataru Institute of Technology, Tiptur, Karnataka, India","2023 International Conference on Recent Advances in Science and Engineering Technology (ICRASET)","8 Feb 2024","2023","","","1","6","Image processing and computer vision researchers can effectively use real-time video to identify human behavior. With the use of visuals, it is possible to observe human activity in private and public places including car parks, bus stops, train stations, airports, banks, retail centers, schools, and colleges. It was done to stop crimes, terrorism, theft, fights, chain exploitation, accidents, unauthorized parking, graffiti, and other shady activities. Since it is highly challenging to constantly observe public spaces, there is a need for intelligent video surveillance that can track people's movements in real-time, differentiate between typical and odd activity, and possibly even sound an alarm.","","979-8-3503-0692-7","10.1109/ICRASET59632.2023.10420324","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10420324","OpenCV;TensorFlow;Dlib;Datasets;Haar Classifier;CNN – Convolutional Neural Network;Flow net – Alexnet – Unet;Crowd Monitoring;Deep Learning","Deep learning;Computer vision;Image processing;Prototypes;Real-time systems;Behavioral sciences;Convolutional neural networks","","","","17","IEEE","8 Feb 2024","","","IEEE","IEEE Conferences"
"Realtime Crowd Monitoring—Estimating Count, Speed and Direction of People Using Hybridized YOLOv4","M. H. K. Khel; K. A. Kadir; S. Khan; M. Noor; H. Nasir; N. Waqas; A. Khan","Electrical Section, Universiti Kuala Lumpur-British Malaysian Institute, Selangor, Gombak, Malaysia; Electrical Section, Universiti Kuala Lumpur-British Malaysian Institute, Selangor, Gombak, Malaysia; Department of Electrical Engineering, College of Engineering and Information Technology, Onaizah Colleges, Onaizah, Saudi Arabia; Computer Engineering Section, Universiti Kuala Lumpur-Malaysian Institute of Information Technology, Kuala Lumpur, Malaysia; Computer Engineering Section, Universiti Kuala Lumpur-Malaysian Institute of Information Technology, Kuala Lumpur, Malaysia; Department of Instrumentation and Control Engineering, Universiti Kuala Lumpur-Malaysian Institute of Industrial Technology, Kuala Lumpur, Malaysia; Electrical Section, Universiti Kuala Lumpur-British Malaysian Institute, Selangor, Gombak, Malaysia","IEEE Access","13 Jun 2023","2023","11","","56368","56379","Researchers are becoming more interested in crowd surveillance because of its several potential applications. These applications may include detecting unusual activity for security purposes, monitoring reasons for archiving records, and conducting inventory for facility planning and extension. Detecting people and tracking them from a security viewpoint and understanding their behavior in places large crowds is highly important because unruly crowds in public spaces can lead to serious health and security concerns. Crowd related accidents happen to cause injuries and deaths, which often occur during events not properly planned. The planning of the organizers relies heavily on exploring the behavior of the few in a crowd of individuals and groups in thousands that create the crowds. It is this focus that provides the main reason for this research. This work proposes a model that can count people in crowds, automatically detect and track people, and then estimate their direction and speed. Deep learning networks have proven costly to run, needing memory and power to perform computations beyond what is possible on edge devices with limited resources. As a result, we propose the use of hybrid YOLOv4 consisting of detection method combined with the training phase pruning and the use the convolution attention module strategy. Accuracy of the Hybrid YOLOv4 is increased by 33%, whereas mAP reached 92.1%. While training on the JHU dataset, the suggested hybrid YOLOv4 strategy decreases the computational memory requirements, all of which closely meet the real-time application conditions. This work will help avoid the threatening situation of crowding gathering around to cause stampedes and thus risking crowds with disastrous consequences.","2169-3536","","10.1109/ACCESS.2023.3272481","Deputyship for Research and Innovation, Ministry of Education, Saudi Arabia, through the project titled “Intelligent Real-Time Crowd Monitoring System Using Unmanned Aerial Vehicle (UAV) Video and Global Positioning Systems (GPS) Data”; Department of Information Technology, College of Computer, Qassim University, Buraydah, Saudi Arabia(grant numbers:QURDO001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10114068","Direction estimation;speed estimation;hybrid YOLOv4;crowd monitoring;crowd management;deep learning","Neural networks;Feature extraction;Deep learning;Security;Training;Safety;Variable speed drives;Estimation;Crowdsourcing","","","","46","CCBYNCND","2 May 2023","","","IEEE","IEEE Journals"
"Uniform Appearance People and Crowd Monitoring Using Drones","A. Elshamy; M. Alansari; A. Abughali; E. Khan; I. M. Zaid; N. Werghi","Department of Electrical Engineering and Computer Science, Khalifa University, Abu Dhabi, UAE; Department of Electrical Engineering and Computer Science, Khalifa University, Abu Dhabi, UAE; Department of Electrical Engineering and Computer Science, Khalifa University, Abu Dhabi, UAE; Department of Electrical Engineering and Computer Science, Khalifa University, Abu Dhabi, UAE; Department of Aerospace Engineering, Khalifa University, Abu Dhabi, UAE; Department of Electrical Engineering and Computer Science, Khalifa University, Abu Dhabi, UAE","2023 21st International Conference on Advanced Robotics (ICAR)","1 Feb 2024","2023","","","492","498","With the rapid increase in crowd gatherings, public safety has become a crucial concern for event organizers. Consequently, the usage of modern technology to monitor crowded locations is necessary. In this work, a challenging dataset with different crowd density scenarios was collected using a camera-equipped drone. The individuals within the crowd were assigned to be dressed uniformly to emulate real challenging scenarios. Unlike the robot, the drone possesses the ability to observe the crowd while having no impact on their mobility, rendering it a more feasible solution in practical applications. The dataset emulates crowded places at different timings and different intruder behaviors. The collected data were annotated manually utilizing Computer Vision Annotation Tool (CVAT). The results show a considerable deterioration in the performance of the State-Of-The-Art (SOTA) visual object trackers which indicates a challenging dataset to track. To enhance the performance of the tracker, STARK-ST50 was fine-tuned using 30 videos for both training and testing, and the tracker has experienced a slight improvement in its performance due to the challenging nature of the dataset.","2572-6919","979-8-3503-4229-1","10.1109/ICAR58858.2023.10406360","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10406360","Crowd Monitoring;Deep Learning;Drones;Security;Visual Object Tracking","Training;Visualization;Timing;Monitoring;Videos;Drones;Testing","","","","24","IEEE","1 Feb 2024","","","IEEE","IEEE Conferences"
"Compensation Tracker: Reprocessing Lost Object for Multi-Object Tracking","Z. Zou; J. Huang; P. Luo","School of Automation, Chongqing University of Posts and Telecommunications, Chongqing, China; School of Automation, Chongqing University of Posts and Telecommunications, Chongqing, China; School of Automation, Chongqing University of Posts and Telecommunications, Chongqing, China","2022 IEEE/CVF Winter Conference on Applications of Computer Vision (WACV)","15 Feb 2022","2022","","","2673","2673","Tracking by detection paradigm is one of the most popular object tracking methods. However, it is very dependent on the performance of the detector. When the detector has a behavior of missing detection, the tracking result will be directly affected. In this paper, we analyze the phenomenon of the lost tracking object in real-time tracking model on MOT2020 dataset. Based on simple and traditional methods, we propose a compensation tracker to further alleviate the lost tracking problem caused by missing detection. It consists of a motion compensation module and an object selection module. The proposed method not only can re-track missing tracking objects from lost objects, but also does not require additional networks so as to maintain speed-accuracy trade-off of the real-time model. Our method only needs to be embedded into the tracker to work without retraining the network. Experiments show that the compensation tracker can efficaciously improve the performance of the model and reduce identity switches. With limited costs, the compensation tracker successfully enhances the baseline tracking performance by a large margin and reaches 66% of MOTA and 67% of IDF1 on MOT2020 dataset.","2642-9381","978-1-6654-0915-5","10.1109/WACV51458.2022.00273","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9706870","Real-time Tracking Datasets;Evaluation and Comparison of Vision Algorithms;Deep Learning","Analytical models;Computer vision;Costs;Tracking;Computational modeling;Detectors;Real-time systems","","5","","60","IEEE","15 Feb 2022","","","IEEE","IEEE Conferences"
"Deep Learning and One-class SVM based Anomalous Crowd Detection","M. Yang; S. Rajasegarar; S. M. Erfani; C. Leckie","School of Computing and Information Systems, The University of Melbourne, Melbourne, Australia; School of Information Technology, Deakin University, Melbourne, Australia; School of Computing and Information Systems, The University of Melbourne, Melbourne, Australia; School of Computing and Information Systems, The University of Melbourne, Melbourne, Australia","2019 International Joint Conference on Neural Networks (IJCNN)","30 Sep 2019","2019","","","1","8","Anomalous event detection in videos is an important and challenging task. This paper proposes a deep representation approach to the problem, which extracts and represents features in an unsupervised way. This algorithm can detect anomalous activity like standing statically and loitering among a crowd of people. Our proposed framework is a two-channel scheme by using feature channels extracted from the appearance and foreground of the original video. Two hybrid deep learning architectures SDAE-DBN-PSVM (a four-layer Stacked Denoising Auto-encoder with three-layer Deep Belief Nets and Plane-based one class SVM) are implemented for these two channels to learn the high-level feature representation automatically and produce two anomaly scores. Finally, a fusion scheme is proposed for combining anomaly scores and detecting anomalous events. Experimental results on a large real-world dataset (MCG) and two benchmark datasets (UCSD and Subway) demonstrate the effectiveness of this approach. Furthermore, quantitative analyses of the effects of the amount of training data and the illumination conditions of the video on the accuracy of anomaly detection are presented.","2161-4407","978-1-7281-1985-4","10.1109/IJCNN.2019.8852256","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8852256","anomalous event detection;deep representation;stacked denoising auto-encoder;deep belief nets;video surveillance","Deep learning;Feature extraction;Videos;Tracking;Computer architecture;Event detection;Noise reduction","","11","","27","IEEE","30 Sep 2019","","","IEEE","IEEE Conferences"
